week;acquisition;buzz event;media event;holidays;promotions;lag_traditional advertising;lag_Twitter_valence;lag_Twitter_volume;lag_FB_impressions
2;2681;0;0;1;0,5;159482;0,353793312;795;4393
3;3056;0;0;1;0,5;176430;0,308383574;783;658966
4;2941;0;0;1;0,333333333;313530;0,302833267;790;962916
5;3264;0;0;1;0,333333333;370942;0,481156691;779;143399
6;3568;0;0;1;0,5;366425;0,329625506;771;69047
7;1974;0;0;0;0,333333333;279962;0,164752835;641;22914
8;1934;0;0;0;0,333333333;1136601;0,47107437;800;27034
9;2114;0;0;0;0,5;993109;0,404913992;692;2474
10;2010;0;0;0;0,5;1018490;0,419636172;685;3020
11;1775;0;0;0;0,5;504242;0,405882366;808;5066
12;1969;0;0;0;0,5;1053949;0,518180003;707;1570
13;2125;0;0;0;0,5;777480;0,133317857;1307;2144
14;2353;1;0;0;0,5;277173;0,253552722;867;1741
15;2262;0;0;0;0,5;191467;0,148080446;1165;1902861
16;1990;0;0;0;0;242191;0,198280338;702;43587
17;2299;0;0;0;0,5;238394;0,125488796;656;623556
18;2720;0;0;0;0,5;1034956;0,298705721;568;202988
19;2774;0;0;0;0,5;1208339;0,235253364;654;85296
20;2293;0;0;0;0,5;783240;0,354368269;739;45128
21;2429;0;0;0;0,333333333;193144;0,403348228;792;14832
22;2716;0;0;0;0,333333333;270291;0,157435678;672;9592
23;2529;0;0;1;0;217540;0,231163483;611;26348
24;2332;0;1;1;0;169891;0,448763794;709;9350
25;2079;0;0;0;0,333333333;253878;0,514662002;744;6436
26;2153;0;0;0;0,666666667;469354;0,353958572;816;9721
27;2304;0;0;0;0,666666667;372059;0,17785535;731;4587
28;1920;0;0;0;0;399767;0,40274225;1089;24927
29;1728;0;1;0;0,2;205025;0,431334624;980;12518
30;1911;0;0;0;0,4;511292;0,482195233;1887;8999
31;2034;0;0;0;0,25;419888;0,362860179;796;19126
32;2363;0;1;0;0;518905;0,57230455;2325;4945
33;1743;0;0;0;0;224932;0,535628208;1349;13433
34;2919;0;1;0;0;146230;0,64282632;1011;83315
35;4086;0;1;0;0;824563;0,437845443;1596;13936
36;4603;0;0;0;0,5;477015;0,518837836;1146;6365
37;4240;0;1;0;0,25;319052;0,800404863;1972;16574
38;3946;0;0;0;0,5;1179658;1,207961104;2328;51608
39;4516;0;1;0;0,5;1025446;0,889347172;2683;19308
40;4916;0;1;0;0,5;865899;1,142014605;2408;14636
41;4289;0;1;1;0,25;528441;0,473809091;1922;8565
42;3755;0;0;1;0,666666667;1018100;0,843101352;1658;11899
43;3552;0;0;0;0,333333333;912571;0,669013593;1567;20015
44;3879;0;0;0;0,5;485270;0,870567484;1123;11754
45;3488;0;0;0;0,5;543596;0,619112239;1572;8479
46;2113;0;0;0;0,333333333;187383;0,779875412;1166;118817
47;2606;0;0;0;0,333333333;322658;0,483751129;1101;32183
48;2743;0;0;0;0,333333333;202975;0,36943255;989;30520
49;2635;0;0;0;0,5;236566;0,729502197;1103;33268
50;1988;0;0;1;0,333333333;130226;0,880782379;1219;68105
51;2094;0;0;1;0,333333333;140110;0,596027424;1524;163468
